algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
BBMSCore,0,1321,940,1241740,558221,792223330,0,792223330,0,0,0,0,0,0,0,-1,1241740,100,ok
BBMSInter,0,1321,940,1241740,558221,1823988,61055203,62879191,2480991,0,0,0,0,0,0,-1,1241740,100,ok
BBMSDppInstant,0,1321,940,1241740,558221,1823988,5940088,7764076,2480991,198549,1316298,198549,0,0,0,-1,1241740,100,ok
BBMSDppStepwise,0,1321,940,1241740,558221,1823988,5940088,7764076,2480991,198549,1019625,788333,0,0,0,-1,1241740,100,ok
DijkstraPrims,0,1321,940,1241740,558221,0,0,0,0,0,0,0,362245,359524,2845,1912.01,359524,28.9532,ok
BBMSCore,1,1321,931,1229851,2.57833e+06,534194474,0,534194474,0,0,0,0,0,0,0,-1,1229851,100,ok
BBMSInter,1,1321,931,1229851,2.57833e+06,1932626,37298336,39230962,2455694,0,0,0,0,0,0,-1,1229851,100,ok
BBMSDppInstant,1,1321,931,1229851,2.57833e+06,1932626,5694245,7626871,2455694,190929,1548661,190929,0,0,0,-1,1229851,100,ok
BBMSDppStepwise,1,1321,931,1229851,2.57833e+06,1932626,5694245,7626871,2455694,190929,1285548,1073162,0,0,0,-1,1229851,100,ok
DijkstraPrims,1,1321,931,1229851,2.57833e+06,0,0,0,0,0,0,0,112304,110039,2722,2101.77,110039,8.94734,ok
BBMSCore,2,1321,687,907527,5.63953e+06,325778610,0,325778610,0,0,0,0,0,0,0,-1,907527,100,ok
BBMSInter,2,1321,687,907527,5.63953e+06,1180212,30731205,31911417,1811956,0,0,0,0,0,0,-1,907527,100,ok
BBMSDppInstant,2,1321,687,907527,5.63953e+06,1180212,4568315,5748527,1811956,147728,1367467,147728,0,0,0,-1,907527,100,ok
BBMSDppStepwise,2,1321,687,907527,5.63953e+06,1180212,4568315,5748527,1811956,147728,978346,799707,0,0,0,-1,907527,100,ok
DijkstraPrims,2,1321,687,907527,5.63953e+06,0,0,0,0,0,0,0,575433,572902,2876,1444.14,572902,63.1278,ok
BBMSCore,3,1321,1033,1364593,1.3638e+07,634222654,0,634222654,0,0,0,0,0,0,0,-1,1364593,100,ok
BBMSInter,3,1321,1033,1364593,1.3638e+07,1809160,38252128,40061288,2726290,0,0,0,0,0,0,-1,1364593,100,ok
BBMSDppInstant,3,1321,1033,1364593,1.3638e+07,1809160,6821937,8631097,2726290,227142,1870449,227142,0,0,0,-1,1364593,100,ok
BBMSDppStepwise,3,1321,1033,1364593,1.3638e+07,1809160,6821937,8631097,2726290,227142,1381104,1102978,0,0,0,-1,1364593,100,ok
DijkstraPrims,3,1321,1033,1364593,1.3638e+07,0,0,0,0,0,0,0,1250264,1248810,5750,2762.08,1248810,91.5152,ok
BBMSCore,4,1321,714,943194,1.96138e+07,314910318,0,314910318,0,0,0,0,0,0,0,-1,943194,100,ok
BBMSInter,4,1321,714,943194,1.96138e+07,1210274,14201030,15411304,1883093,0,0,0,0,0,0,-1,943194,100,ok
BBMSDppInstant,4,1321,714,943194,1.96138e+07,1210274,4772707,5982981,1883093,141178,1529248,141178,0,0,0,-1,943194,100,ok
BBMSDppStepwise,4,1321,714,943194,1.96138e+07,1210274,4772707,5982981,1883093,141178,1026216,834128,0,0,0,-1,943194,100,ok
DijkstraPrims,4,1321,714,943194,1.96138e+07,0,0,0,0,0,0,0,918877,917591,3110,1715.58,917591,97.2855,ok
BBMSCore,5,1321,615,812415,1.48926e+07,490934890,0,490934890,0,0,0,0,0,0,0,-1,812415,100,ok
BBMSInter,5,1321,615,812415,1.48926e+07,1208380,26054265,27262645,1622894,0,0,0,0,0,0,-1,812415,100,ok
BBMSDppInstant,5,1321,615,812415,1.48926e+07,1208380,3860777,5069157,1622894,113526,941755,113526,0,0,0,-1,812415,100,ok
BBMSDppStepwise,5,1321,615,812415,1.48926e+07,1208380,3860777,5069157,1622894,113526,683117,547171,0,0,0,-1,812415,100,ok
DijkstraPrims,5,1321,615,812415,1.48926e+07,0,0,0,0,0,0,0,510124,507799,3060,1733.95,507799,62.5049,ok
BBMSCore,6,1321,3701,4889021,1.82803e+07,3138901388,0,3138901388,0,0,0,0,0,0,0,-1,4889021,100,ok
BBMSInter,6,1321,3701,4889021,1.82803e+07,5879016,121870810,127749826,9770566,0,0,0,0,0,0,-1,4889021,100,ok
BBMSDppInstant,6,1321,3701,4889021,1.82803e+07,5879016,25369449,31248465,9770566,660181,9578001,660181,0,0,0,-1,4889021,100,ok
BBMSDppStepwise,6,1321,3701,4889021,1.82803e+07,5879016,25369449,31248465,9770566,660181,5587243,4620928,0,0,0,-1,4889021,100,ok
DijkstraPrims,6,1321,3701,4889021,1.82803e+07,0,0,0,0,0,0,0,4769658,4767087,10495,6028.33,4767087,97.506,ok
BBMSCore,7,1321,1170,1545570,1.06349e+07,600593802,0,600593802,0,0,0,0,0,0,0,-1,1545570,100,ok
BBMSInter,7,1321,1170,1545570,1.06349e+07,2131228,42184783,44316011,3088649,0,0,0,0,0,0,-1,1545570,100,ok
BBMSDppInstant,7,1321,1170,1545570,1.06349e+07,2131228,7604712,9735940,3088649,252363,2360899,252363,0,0,0,-1,1545570,100,ok
BBMSDppStepwise,7,1321,1170,1545570,1.06349e+07,2131228,7604712,9735940,3088649,252363,1692310,1386249,0,0,0,-1,1545570,100,ok
