algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,0,1321,940,1241740,2.64803,558221,53.6602,53.6602,7302,0,0,0,0,7,2.63798,0.010003,5.2372e-05,ok,0
BBMSInter,0,1321,940,1241740,0.868161,558221,53.6602,69.9805,17003,0,0,0,0,3,0.848094,0.020025,4.2127e-05,ok,0
BBMSDppInstant,0,1321,940,1241740,0.281306,558221,53.6602,266.449,67728,0,0,0,0,0,0.220413,0.060907,-1.4116e-05,ok,0
BBMSDppStepwise,0,1321,940,1241740,0.330946,558221,53.6602,258.086,65577,0,0,0,0,2,0.272003,0.058912,3.101e-05,ok,0
DijkstraPrims,0,1321,940,1241740,0.0678619,558221,53.6602,53.6602,5574,0,0,0,0,2,0.057742,0.010104,1.5945e-05,ok,0
BBMSCore,0,1321,940,1241740,2.6476,558221,53.6602,53.6602,7302,0,0,0,0,16,2.63742,0.01,0.000179592,ok,1
BBMSInter,0,1321,940,1241740,0.869848,558221,53.6602,70,17003,0,0,0,0,5,0.849709,0.020064,7.5051e-05,ok,1
BBMSDppInstant,0,1321,940,1241740,0.279484,558221,53.6602,266.449,67728,0,0,0,0,2,0.198753,0.080706,2.5462e-05,ok,1
BBMSDppStepwise,0,1321,940,1241740,0.327474,558221,53.6602,258.09,65577,0,0,0,0,1,0.237338,0.090135,1.331e-06,ok,1
DijkstraPrims,0,1321,940,1241740,0.0679505,558221,53.6602,53.6602,5574,0,0,0,0,0,0.057847,0.010111,-7.5e-06,ok,1
BBMSCore,0,1321,940,1241740,2.65041,558221,53.6602,53.6602,7302,0,0,0,0,8,2.65011,0,0.000298804,ok,2
BBMSInter,0,1321,940,1241740,0.870399,558221,53.6602,69.9922,17003,0,0,0,0,2,0.850321,0.020079,-1.499e-06,ok,2
BBMSDppInstant,0,1321,940,1241740,0.277639,558221,53.6602,266.449,67728,0,0,0,0,3,0.197456,0.080155,2.8351e-05,ok,2
BBMSDppStepwise,0,1321,940,1241740,0.328904,558221,53.6602,258.102,65577,0,0,0,0,2,0.248438,0.080438,2.7854e-05,ok,2
DijkstraPrims,0,1321,940,1241740,0.067935,558221,53.6602,53.6602,5574,0,0,0,0,1,0.057815,0.010117,2.994e-06,ok,2
BBMSCore,1,1321,931,1229851,1.14462,2.57833e+06,53.6602,53.6602,7233,0,0,0,0,10,1.13441,0.009983,0.000226358,ok,0
BBMSInter,1,1321,931,1229851,0.2275,2.57833e+06,53.6602,69.3672,16841,0,0,0,0,2,0.207364,0.020106,2.9843e-05,ok,0
BBMSDppInstant,1,1321,931,1229851,0.284335,2.57833e+06,53.6602,266.152,68113,0,0,0,0,1,0.194933,0.089391,1.0705e-05,ok,0
BBMSDppStepwise,1,1321,931,1229851,0.351173,2.57833e+06,53.6602,255.812,64989,0,0,0,0,1,0.272293,0.07887,1.0455e-05,ok,0
DijkstraPrims,1,1321,931,1229851,0.0188491,2.57833e+06,53.6602,53.6602,1543,0,0,0,0,0,0.018857,0,-7.916e-06,ok,0
BBMSCore,1,1321,931,1229851,1.14718,2.57833e+06,53.6602,53.6602,7233,0,0,0,0,5,1.14711,0,6.8213e-05,ok,1
BBMSInter,1,1321,931,1229851,0.224834,2.57833e+06,53.6602,69.3672,16841,0,0,0,0,1,0.195008,0.029827,-8.49e-07,ok,1
BBMSDppInstant,1,1321,931,1229851,0.284923,2.57833e+06,53.6602,266.156,68113,0,0,0,0,1,0.175376,0.10953,1.6973e-05,ok,1
BBMSDppStepwise,1,1321,931,1229851,0.355587,2.57833e+06,53.6602,255.801,64989,0,0,0,0,1,0.255747,0.099834,6.207e-06,ok,1
DijkstraPrims,1,1321,931,1229851,0.0190625,2.57833e+06,53.6602,53.6602,1543,0,0,0,0,0,0.01907,0,-7.454e-06,ok,1
BBMSCore,1,1321,931,1229851,1.14588,2.57833e+06,53.6602,53.6602,7233,0,0,0,0,6,1.13584,0.009995,4.6604e-05,ok,2
BBMSInter,1,1321,931,1229851,0.22503,2.57833e+06,53.6602,69.3672,16841,0,0,0,0,1,0.199049,0.025977,4.294e-06,ok,2
BBMSDppInstant,1,1321,931,1229851,0.287556,2.57833e+06,53.6602,266.133,68113,0,0,0,0,1,0.174863,0.112687,5.687e-06,ok,2
BBMSDppStepwise,1,1321,931,1229851,0.356001,2.57833e+06,53.6602,255.832,64989,0,0,0,0,4,0.246034,0.109907,5.9569e-05,ok,2
DijkstraPrims,1,1321,931,1229851,0.018882,2.57833e+06,53.6602,53.6602,1543,0,0,0,0,0,0.007579,0.011311,-7.981e-06,ok,2
BBMSCore,2,1321,687,907527,0.968646,5.63953e+06,53.6602,53.6602,5342,0,0,0,0,6,0.958243,0.010026,0.000376578,ok,0
BBMSInter,2,1321,687,907527,0.253845,5.63953e+06,53.6602,53.6602,12432,0,0,0,0,2,0.233952,0.019874,1.9313e-05,ok,0
BBMSDppInstant,2,1321,687,907527,0.203766,5.63953e+06,53.6602,199.312,50437,0,0,0,0,0,0.134319,0.069459,-1.1789e-05,ok,0
BBMSDppStepwise,2,1321,687,907527,0.275848,5.63953e+06,53.6602,189.668,47849,0,0,0,0,1,0.195708,0.080125,1.5048e-05,ok,0
DijkstraPrims,2,1321,687,907527,0.100208,5.63953e+06,53.6602,53.6602,7238,0,0,0,0,2,0.10019,0,1.8496e-05,ok,0
BBMSCore,2,1321,687,907527,0.965761,5.63953e+06,53.6602,53.6602,5342,0,0,0,0,4,0.96573,0,3.13e-05,ok,1
BBMSInter,2,1321,687,907527,0.256821,5.63953e+06,53.6602,53.6602,12432,0,0,0,0,3,0.237402,0.019365,5.441e-05,ok,1
BBMSDppInstant,2,1321,687,907527,0.202996,5.63953e+06,53.6602,199.32,50437,0,0,0,0,1,0.161485,0.041505,6.019e-06,ok,1
BBMSDppStepwise,2,1321,687,907527,0.275431,5.63953e+06,53.6602,189.637,47849,0,0,0,0,1,0.175446,0.099971,1.3609e-05,ok,1
DijkstraPrims,2,1321,687,907527,0.0999962,5.63953e+06,53.6602,53.6602,7238,0,0,0,0,1,0.099987,0,9.247e-06,ok,1
BBMSCore,2,1321,687,907527,0.966181,5.63953e+06,53.6602,53.6602,5342,0,0,0,0,4,0.956028,0.010005,0.000147965,ok,2
BBMSInter,2,1321,687,907527,0.254961,5.63953e+06,53.6602,53.6602,12432,0,0,0,0,3,0.234939,0.019966,5.6269e-05,ok,2
BBMSDppInstant,2,1321,687,907527,0.202038,5.63953e+06,53.6602,199.316,50437,0,0,0,0,2,0.133119,0.068896,2.3273e-05,ok,2
BBMSDppStepwise,2,1321,687,907527,0.273719,5.63953e+06,53.6602,189.648,47849,0,0,0,0,1,0.204137,0.069566,1.6176e-05,ok,2
DijkstraPrims,2,1321,687,907527,0.0988567,5.63953e+06,53.6602,53.6602,7238,0,0,0,0,1,0.080036,0.018811,9.734e-06,ok,2
BBMSCore,3,1321,1033,1364593,1.79047,1.3638e+07,53.6602,53.6602,8020,0,0,0,0,7,1.78025,0.010033,0.000179239,ok,0
BBMSInter,3,1321,1033,1364593,0.387277,1.3638e+07,53.6602,76.4648,18681,0,0,0,0,1,0.36713,0.020147,3.86e-07,ok,0
BBMSDppInstant,3,1321,1033,1364593,0.302198,1.3638e+07,53.6602,295.957,75244,0,0,0,0,2,0.183013,0.119157,2.8022e-05,ok,0
BBMSDppStepwise,3,1321,1033,1364593,0.385922,1.3638e+07,53.6602,283.273,72004,0,0,0,0,1,0.335727,0.050182,1.3412e-05,ok,0
DijkstraPrims,3,1321,1033,1364593,0.212336,1.3638e+07,53.6602,53.6602,15348,0,0,0,0,2,0.202417,0.009901,1.8101e-05,ok,0
BBMSCore,3,1321,1033,1364593,1.8547,1.3638e+07,53.6602,53.6602,8020,0,0,0,0,21,1.84437,0.01,0.000324541,ok,1
BBMSInter,3,1321,1033,1364593,0.38954,1.3638e+07,53.6602,76.4766,18681,0,0,0,0,1,0.369766,0.019763,1.1428e-05,ok,1
BBMSDppInstant,3,1321,1033,1364593,0.302019,1.3638e+07,53.6602,295.949,75244,0,0,0,0,4,0.202735,0.099237,4.7319e-05,ok,1
BBMSDppStepwise,3,1321,1033,1364593,0.387259,1.3638e+07,53.6602,283.254,72004,0,0,0,0,2,0.316727,0.070502,3.04e-05,ok,1
DijkstraPrims,3,1321,1033,1364593,0.209571,1.3638e+07,53.6602,53.6602,15348,0,0,0,0,1,0.189078,0.020484,8.575e-06,ok,1
